title,site,date,writer,content,comments,label,sentencelabel
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,"A választáson szerintem nem csak egy – extrémet természetesnek mondó, nemzeti kérdések iránt érzéketlennek tűnő – bal- és liberális oldallal szemben kellett győznie a kormányerőnek.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Hanem főleg egy olyan ellenféllel szemben, amelynek nincs kivehető, markáns arca.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Egy önmagát meghatározni képtelen ellenfelet, formációt láttak a választópolgárok is.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, Szerintem ez is nagyon sokban hozzájárult a Fidesz elképesztő sikeréhez.,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, Hiszen a megfoghatatlanság ellenzéki érzelmű polgárokat is riaszthatott.,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Kárhoztatja azokat, akik mégis az ellenzékre adták a voksukat?",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,"Mindenkinek szíve joga, hogy melyik pártra adja a voksát.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," De azt hiszem, az ellenzéki szavazóknak is jobb, hogy így alakult az eredmény.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Viszont reménykedem, hogy később a budapesti ellenzéki voksolók, értelmiségiek is közelednek a többségi állásponthoz – legalábbis némely kérdésekben.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Talán vannak jelei, hogy ez már el is kezdődött.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Többen például őszintén elgondolkodtak azon, hogy a vidékiek a választáson elegáns, egyszersmind határozott választ adtak a jelen baloldal velük szembeni lekezelő gesztusaira.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, ,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, ,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"Pityinger László, alias Dopeman húsvét hétfőn is új videóval jelentkezett, amelynek a legfőbb témáját VV Zsolti, azaz Osváth Zsolt Tóth Gabi ellen irányuló kirohanása szolgáltatta.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,," A volt villalakó úgy fogalmazott videójában, „nem az a baj, hogy az énekesnő fideszes, hanem hogy ezt hosszú ideig az ő szemébe is letagadta”, és emiatt, mint mondta, „Tóth Gabi a pofámba hazudott, hányok tőle”.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,, ,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"Dopeman először is azzal kezdte: a negyedik Fidesz-kétharmad után az ellenoldalnak önreflexiót kellene tartania, majd ezen gondolatmenetet továbbszőve azt mondta: Osváth Zsoltnak egyetlen problémája van, ami azonban nem csak rá, hanem az egész balliberális oldalra jellemző, mégpedig, hogy „ezek az ellenzéki formák piedesztálra helyezik magukat”.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,, A rapper szerint VV Zsolti,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,– fogalmazott videójában Dopeman.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"Hozzátette: a probléma ott van, hogy ez a piedesztál „recseg-ropog, nem áll biztos lábakon”, sőt a rapper álláspontja szerint ez már „össze is dőlt”, utalva arra, hogy Gyurcsány a választások után egyből Márki-Zay Péter felelősségét kezdte firtatni, és arra buzdított mindenkit, hogy legyenek ők is Gyurcsányok.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"Dopeman ezután azzal folytatta: Osváth Zsolt az „orbáni diktatúrában” építette fel YouTube-csatornáját és éttermét, egy olyan országban, „ahol elnyomják a melegeket”, majd hozzátette:  „Lehet fikázni a Tóth Gabit, mert hogy fideszes.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,, [.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"] Nyilvánvaló az, hogy ha Osváth Zsolt becsatornázódott [Gyurcsányékhoz], az se véletlen volt”.",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,"A rapper szerint ha VV Zsolti „erkölcsi és morális értelemben valóban a többiek fölött áll”, ",,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,– fogalmazott Dopeman.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,A rapper teljes videóját megtekinthetik alább:,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,Nyitókép: YouTube / ZSHOW Time,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,,egy ilyen piedesztálról nézi a világot és bírálgatja az embereket.,,0,0.0
"Dopeman: Ha Osváth Zsolt erkölcsileg tényleg a többiek felett áll, akkor nem paktál jobbikosokkal", Mandiner,2022. április 18. 14:32,," „És most meglepődött, hogy mégsem sikerült a nagy változás, és most meg vagyunk sértődve, és haragszunk”",,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,"Vlagyimir Putyin orosz elnök szerint a nyugati országok öngólt lőttek azzal, hogy az ukrajnai háború miatt szankciókat vezettek be Oroszország ellen, ami szerinte",,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,"Az orosz belföldi gazdaság helyzetéről szólva Putyin azt mondta, hogy az infláció stabilizálódik, és a kiskereskedelmi kereslet normalizálódott az országban.",,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,, – írja a Guardian.,,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,"Az orosz szolgáltatási szektor a legnagyobb visszaesést szenvedte el a Covid-19 világjárvány 2020-as kitörése óta, mivel a fogyasztók és a vállalkozások lemondták megrendeléseiket",,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,"Ezzel szemben egy nagy figyelemmel kísért üzleti felmérés e hónap elején azt mutatta, hogy az új megrendelések márciusban csökkentek, mivel az importra és az exportra vonatkozó korlátozások kezdtek éreztetni hatásukat, az infláció pedig a szolgáltatások árát az eddigi leggyorsabb ütemben emelte.",,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,Nyitókép: AFP,,0,0.0
Putyin szerint a Nyugat öngólt lőtt a szankciókkal, Mandiner,2022. április 18. 16:46,,a nyugati gazdaság gyengüléséhez” vezetett.,,0,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,"„Németországnak is megvan a maga magyar-problémája” címmel jelentetett meg egy cikket a  Wall Street Journalben Dalibor Rohac, az American Enterprise Institute elemzője.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,," A szerző a cikkben kifejti, hogy Berlin Orbán Viktor cinkosaként az orosz agresszió elleni egységes uniós fellépést akadályozza.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,," Merthogy nemcsak Orbán, de Németország is igyekezett a Kreml kedvében járni – alapvetően",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,"„A német vezetők több mint egy évtizede nemcsak a Kreml, hanem az Európai Unió legvakmerőbb és legnyíltabban nyugatellenes politikát folytató kormányát is simogatták és megbékítették Budapesten.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,” – írja Rohac.,,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,"Ezután kifejti, hogy „Németország hanyagsága Európában és az Észak-atlanti Szerződés Szervezetében különösen szembetűnő volt az orosz invázió közepette.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,," Egyes berlini kritikusok számára az, hogy Ukrajna a közelmúltban elutasította Frank-Walter Steinmeier német elnök kijevi látogatását, megkésett igazolásnak számít”.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,"Az elemző szerint „néhány nappal a háború kezdete után Olaf Scholz német kancellár politikai forradalmat jelentett be, beleértve azt a tervet, hogy többet költenek a védelemre és függetlenítik az országot az orosz földgáztól.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,," A politika »új korszaka« február 27-én azonban túl kevésnek, túl későnek tűnik.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,, ,,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,"valamint a Fidesz-pártnak a civil társadalmat, a szabad médiát és az igazságszolgáltatást megcélzó antidemokratikus politikáját”.",,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,Nyitókép: Yorick Jansens / AFP,,1,0.0
"The Wall Street Journal: Berlin cinkos, mert megalkuvó Orbánnal szemben", Mandiner,2022. április 18. 15:51,,az energiapolitika zökkenőmentessége érdekében.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,"Viktor Medvedcsuk Moszkva-barát ukrán politikus és üzletember a mariupoli civilekre, orosz fogságba esett két brit katona pedig Medvedcsukra való kicserélését kérték egy-egy videóban, amelyet egy órán belül tettek közzé hétfőn Ukrajnában és Oroszországban.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,"Az ukrán állambiztonsági szolgálat a Facebookon hozott nyilvánosságra egy videofelvételt, amelyben a hazaárulással vádolt, oroszbarátként számon tartott Viktor Medvedcsuk ukrán politikus és vállalkozó azt javasolja: cseréljék el őt az ostromlott",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,A felvételen arra kéri Vlagyimir Putyin orosz és Volodimir Zelenszkij ukrán elnököt: fontolják meg ajánlatát.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,    ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Medvedcsuk az Ellenzéki Platform – Az Életért elnevezésű oroszbarát párt volt vezetője.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, A Forbes magazin szerint a 12.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, leggazdagabb ember volt Ukrajnában 2021-ben.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,," Személyes kapcsolatok fűzik Vlagyimir Putyin orosz elnökhöz, aki a politikus egyik lányának a keresztapja.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,    ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,egy különleges művelet során.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, A 67 éves oligarcha – akit hazaárulással és terrorizmus finanszírozásával vádolnak – az orosz invázió kezdete előtt szökött meg házi őrizetből.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,    ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,"Eközben orosz hadifogságba esett két brit férfi, Sean Pinner és Aiden Aslin egy felvételen arra kérte Boris Johnson brit miniszterelnököt, hogy gondoskodjon szabadulásukról, érje el, hogy kicseréljék őket az Ukrajnában fogva tartott Viktor Medvedcsukra.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,    ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Orosz információk szerint,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,"Állítólag azt követően kerültek hadifogságba, hogy egységük megadta magát az oroszoknak.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, Videójukat az orosz állami médiában tették közzé.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,," A felvételen megviseltnek tűnnek, de azt mondták, hogy megfelelő bánásmódban részesültek.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,," A videóból nem derült ki, hogy a britek donyecki szakadárok vagy orosz katonák fogságában vannak-e.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,    ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,"Shaun Pinner, a 48 éves veterán katona családja Londonban közleményben hangsúlyozta, hogy a férfi se nem önkéntes, se nem zsoldos; négy éve él Ukrajnában, „fogadott hazájában”; ukrán felesége van, és „hivatalosan, az ukrán törvények alapján szolgál az ukrán hadseregben”.",,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Captured British fighters beg to be exchanged for Putin's 'prince of darkness' on Russian TV https://t.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,co/imbu9So5Ha pic.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,twitter.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,com/OZ63BQ9Pef,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,, ,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,(MTI),,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Nyitókép: Mikhail KLIMENTYEV / SPUTNIK / AFP,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Mariupolban rekedt civilekért és a várost védő ukránokért.,,1,0.0
Fogolycserét ajánló videófelvételt tettek közzé az ukránok és az oroszok is, Mandiner,2022. április 18. 17:14,,Medvedcsukot múlt kedden fogta el az Ukrán Biztonsági Szolgálat (SZBU),,1,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,"Az április 3-i országgyűlési választásokon a fideszes Lévai István több szavazatot kapott Budapest egyik legismertebb lakótelepén, a Havanna-lakótelepen, mint az MSZP-s Kunhalmi Ágnes.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,, Pedig ez a körzet eddig a baloldal egyik legerősebb területe volt.,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,," Nemcsak ebben a választókerületben, hanem a főváros egészében nőtt a Fidesz–KDNP támogatottsága.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,A Budapest 15.,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,," számú egyéni választókerületben 100 százalékos feldolgozottság mellett Kunhalmi Ágnes, a baloldal jelöltje 25 946 szavazattal 44,60 százalékot szerzett, és ezzel megnyerte a választókerületet, meglepetésre nagyon kis különbséggel – olvasható az Origó cikkében.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,"A fideszes Lévai István mindössze egy százalékponttal lemaradva 25 166 szavazatot szerzett 43,26 százalékkal.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,, Viszont a választókerületben fekvő ,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,"„A pontos szavazati arányt nem lehet megállapítani, ugyanis az egyik havannatelepi szavazókört jelölték ki arra, hogy az átjelentkezéssel és a külképviseleteken szavazók szavazatait a többi közé keverjék – ők azonban nem (vagy nem feltétlen) a lakótelepen laknak.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,," A többi szavazókörben azonban annyival több szavazatot kapott Lévai István, hogy a csak itt lakók szavazataival semmiképp nem tudott volna fordítani Kunhalmi, sőt, valószínű, hogy ha ",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,– írja az Origó.,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,"Abban a 10 szavazókörben, ahol csak a havannatelepiek szavaztak, Lévai István 2791, Kunhalmi Ágnes 2727 szavazatot kapott.",,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,, ,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,Nyitókép: Facebook ,,0,0.0
Végleges: a Havannát is bevette a Fidesz, Mandiner,2022. április 18. 15:57,,Havanna-lakótelepen Lévai István kapott több szavazatot.,,0,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,,"Először hozott nyilvánosságra a háború kezdete óta ukrán veszteséglistát hétfőn az orosz védelmi minisztérium, az elesettek névsora 23 367 ember személyi adatait tartalmazza.",,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,," A moszkvai katonai tárca az ukrán hadsereg, a nemzeti gárda és a külföldi zsoldosok veszteségeiről szóló, a Telegram-csatornáján megosztott adatokat megbízhatónak nevezte, a gárda esetében megjegyezve, hogy az információk valódi ukrán dokumentumokból származnak.",,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,,A hivatalos iratokra hivatkozó közlemény szerint a 3057-es katonai egység katonái és az annak részét képező Azov különleges rendeltetésű különítmény büntetőalakulatának katonái között jelentősek voltak a veszteségek a március 29-én rögzített állapot szerint.,,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,, ,,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,,"A veszteséglista az elesett ukrán katonák nevét, születési dátumát, rendfokozatát, haláluk helyét és körülményeit, valamint az eltemetésük helyét tartalmazza.",,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,," A tárca közölte, hogy nagyszámú dezertált, sebesült és eltűnt ukrán katona adataival is rendelkezik.",,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,,(MTI),,1,0.0
Ukrán veszteséglistát hozott nyilvánosságra az orosz védelmi minisztérium, Mandiner,2022. április 18. 13:53,,Fotó: MTI/EPA/Stanislav Kozliuk,,1,0.0
"Íme, a kis országok, amelyek csendben reménykednek a világgazdaság dollármentesítésében ", Mandiner,2022. április 18. 15:08,,"A kínai külügyminisztérium március 28-án közölte, hogy Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar külügyminiszterei csütörtöktől vasárnapig Kínában tesznek látogatást Wang Yi államtanácsos és külügyminiszter meghívására.",,1,0.0
"Íme, a kis országok, amelyek csendben reménykednek a világgazdaság dollármentesítésében ", Mandiner,2022. április 18. 15:08,,"A Délkelet-Ázsiai Nemzetek Szövetsége (ASEAN) tagjai közül a négy külügyminiszter közelgő látogatása nemcsak Kína bensőséges kapcsolatait tükrözi a szomszédos országokkal, hanem azt is, hogy  közös cél a Kína-ASEAN együttműködés előmozdítása – mondta Wang külügyminisztériumi szóvivő.",,1,0.0
"Íme, a kis országok, amelyek csendben reménykednek a világgazdaság dollármentesítésében ", Mandiner,2022. április 18. 15:08,,"A találkozó tényét az teszi pikánssá, hogy ",,1,0.0
"Íme, a kis országok, amelyek csendben reménykednek a világgazdaság dollármentesítésében ", Mandiner,2022. április 18. 15:08,,"Wang ki is hangsúlyozta: „Az ASEAN fontos tagjaként Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar Kína baráti szomszédai és fontos partnerei a Belt and Road együttműködés előmozdításában.",,1,0.0
