,content,sentencelabel
74, Mint a polgármester fogalmazott:,0
75,"Hadházy Ákost idézte a választások előtti, vasárnap reggeli írásában a The Telegraph, a képviselő szerint egy esetleges ellenzéki választási győzelem esetén „nem lesz tiszta átmenet”, és tartani lehet attól, hogy Orbán Viktor
miniszterelnök Donald Trump volt amerikai elnökhöz hasonlóan",0
76,"A Márki-Zay Péter ellenzéki miniszterelnök-jelölthöz közel álló Hadházy arra is rámutatott, hogy Trumphoz hasonlóan Orbán Viktor is választási csalással vádolta ellenfeleit a választásokat megelőzően, miközben a 12 éve most először szoros választási versenyre kényszerülő Fidesz azzal vádolja az ellenzéket, hogy",0
77,és „brutális” megélhetési válságot okoznának.,0
78,"Hétfő délelőtt a Telex megkérdezte Márki-Zay Pétert, hogy  felveszi-e a parlamenti mandátumát.",0
79," Az ellenzéki miniszterelnök-jelölt ugyanis listavezetőként bejutott az új parlamentbe, ám az országgyűlési képviselőség összeférhetetlen a polgármesteri poszttal.",0
80,„Hódmezővásárhelyre fogok fókuszálni” – mondta Márki-Zay Péter a Telexnek.,0
81," A kérdésre, hogy akkor tehát nem ül be a parlamentbe, azt mondta: „A vásárhelyiekért fogok dolgozni a következőkben, ",0
82,"Márki-Zay Péter nemcsak országosan szenvedett vereséget (a Fidesz 53-35-re megverte listán az ellenzéket), hanem a választókerületében, a Csongrád megyei 4-esben is alulmaradt a fideszes Lázár Jánostól:",0
83,"Ennek a választókerületnek a része maga Hódmezővásárhely is, ahol Márki-Zay most a polgármester, itt egyelőre pár száz szavazattal nyerhet Lázár, de csak a külképviseleti szavazatok megérkezése után lehet majd végeredményt hirdetni.",0
84,"Márki-Zay a helyi és az országos vereségét egyelőre nem kívánta hosszabban kommentálni, most úgy látja: nem működött az összefogás modellje.",0
85,"„A számok azt mutatják, hogy a régi Jobbikot nem sikerült megszólítani” – mondta Márki-Zay, aki szerint a 2018-as milliós Jobbik-táborból 300 ezren biztosan a Mi Hazánkra szavaztak, és szerinte a Fidesz is elvitt abból a szavazóbázisból.",0
86, „Ezek a volt Jobbik-szavazók az összefogást és ,0
87,Részletesebb elemzést és értékelést azonban csak későbbre ígért Márki-Zay Péter.,0
88,Az ukrajnai Bucsában történt incidensről fejtette ki véleményét Demkó Attila biztonságpolitikai szakértő (a felkavaró képsorok itt nézhetők meg).,0
89,"Demkó szerint az egész háború bűncselekmény, és a közvetlen felelősök Moszkvában vannak.",0
90," Úgy látja, nem kellett a háborút megindítani, semmi sem indokolta, nem volt tömeges mészárlása az orosz kisebbségnek, 2022-ben biztosan nem.",0
91,"„Ez viszont az, mészárlás” – fogalmaz a Bucsában történtekről Demkó Attila.",0
92," Hozzáteszi: „Végső soron mindegy, hogy tapasztalatlan, ideges, vagy bajtársaik halálát megbosszuló orosz katonák csinálták, vagy hideg fejjel megtervezett bűncselekmények is vannak, lehet, hogy van manipuláció is, de Kijev ezen külvárosai nem hevernének romokban, a földön fekvő emberek élnének, ha nincs az orosz invázió”.",0
93,"Kifejti: „Mindenki – köztük jó barátaim és ismerőseim is –, aki még mindig mentegeti az oroszokat, nézzen sok ilyen videót, és gondolkodjon alaposan el.",0
94," Az persze más kérdés, hogy a gáz és olajszankcióknak nincs értelme, épp Ukrajna szenvedne velük a legtöbbet, miközben az oroszok az olajukat diszkont áron tolnák Indiába és Kínába, az a bevételük túlnyomó része, nem a gáz.",0
95,”,0
96,Kuponkód: probaljaki,0
97, ,0
98,Kuponkód: feleves,0
99, ,0
100,Kuponkód: edesseg,0
101, ,0
102,Kuponkód: zene,0
103, ,0
104,Kuponkód: lapcsomag,0
105, ,0
106, ,0
107,Előfizetői szabályzat az linkre kattintva olvasható!,0
108, ,0
109,"A Frankfurter Rundschau az online felületén megírta, hogy Orbán Viktor „jobboldali nacionalista” miniszterelnök váratlan győzelmet aratott a magyarországi országgyűlési választásokon.",0
110,"A cikkben kifejtik, hogy Orbán valószínűleg sorozatban negyedszer is kétharmados alkotmányos többséggel irányíthatja Magyarországot.",0
111," A kormányfő este győztesnek nyilvánította magát, illetve üzent az EU-nak is, amely korábban már többször is megvádolta őt a jogállamiság megsértésével.",0
112,"Beszámolnak arról is, hogy Márki-Zay Péter elvesztette a versenyt saját választókerületében is.",0
113, A baloldal jelöltje elismerte az összefogás választási vereségét.,0
114," A lap megjegyzi, hogy szerintük a levélszavazatok manipulálásával kapcsolatos vádak egyelőre nem tisztázottak.",0
115,"A cikkből megtudhatjuk azt is, hogy Krekó Péter politológus figyelmeztette a külföldi megfigyelőket, hogy ne vegyék készpénznek a választási eredményeket.",0
116," „Magyarország már nem liberális demokrácia, hanem egy hibrid rendszer, de nem igazi demokrácia” – nyilatkozta az Euronews televíziós csatornának.",0
117," Krekó szerint az olyan intézmények, mint az ügyészség vagy a választási  hatóságok már nem függetlenek és pártatlanok, ami a hivatalban lévő Orbán Viktornak segít.",0
118,"Orbán Viktor miniszterelnök az alkotmányjog célzott manipulációján keresztül formálta át a magyar politika intézményeit, egyebek mellett a választási rendszert és fordította a közhangulatot egyes kisebbségi csoportok és politikai ellenfelei ellen – olvasható az  EUobserver hasábjain megjelent véleménycikkben.",0
119, ,0
120,"Emellett nem szabad szem elől téveszteni, hogy a magyar kormányfő politikai sikereit leginkább annak köszönheti, hogy",0
121,"– írta Elizabeth Grady, a New York-i Metropolitan Múzeum munkatársa, és Johanna Bankston, az Artistic Freedom Initiative emberi jogi kutatója.",0
122,"A szerzők szerint Orbán Viktor Vlagyimir Putyin orosz elnök módszereiből is átvett elemeket, és másik nagy szövetségeséhez, Donald Trump amerikai elnökhöz hasonlóan felismerte, hogy",0
123,Szerintük a Fidesz részben ennek köszönhetően tudta az EU-s normák betartásának látszatát fenntartva fokozatosan lebontani a magyarországi demokratikus intézmények rendszerét.,0
124,A cikk szerint a korábban világszinten is a művészi kreativitás éltető közegeként elismert Magyarország Orbán Viktor hatására egyre inkább bezárul a kormánnyal szembehelyezkedő művészek és alkotók számára.,0
125," Emellett a szerzők kiemelik, hogy a kormányfő esetleges újraválasztása fontos figyelmeztetésül kell, hogy szolgáljon az EU, az Európai Tanács, valamint az ENSZ számára, hogy szorosan  figyelemmel kell kísérniük a magyar demokratikus intézmények módszeres lebontására irányuló lépéseket.",0
126,Nyitóképen Semjén Zsolt és L.,0
127, Simon László a Magyar Nemzeti Múzeum látványtárában.,0
128,"A Fidesz-KDNP immár negyedszer győzött egyhuzamban a magyarországi parlamenti választásokon, ezt a demokratikus magyar választást tiszteletben kell tartani – jelentette ki Mateusz Morawiecki lengyel kormányfő hétfői sajtóértekezletén.",0
129,Az ukrajnai háború fejleményeiről szóló sajtókonferencián Morawieckit újságírók az ez ügyben képviselt lengyel álláspontról kérdezték.,0
130," „Elsősorban észre kell venni, függetlenül attól, ki hogyan viszonyul Magyarországhoz, hogy a Fidesz-KDNP immár negyedik alkalommal győzött a választásokon, mégpedig a lehető legjobb eredménnyel, megszerezve az alkotmányos többséget” – válaszolt Morawiecki, aláhúzva: a demokratikus választást tiszteletben kell tartani.",0
131,    ,0
132,"A Moszkvával szembeni uniós intézkedéseket illetően a lengyel kormányfő aláhúzta: felesleges, hogy „Magyarországgal fedjék el azok szemét, akik az európai helyzetet homályosan látják”.",0
133," Arra kérte a sajtó képviselőit, hogy „ne próbálják mellékvágányra terelni a közvélemény figyelmét”.",0
134,    ,0
135,"Megállapította: Európában nem bonyolult a helyzet, ez világosan látható az Európai Tanács ülésein is.",0
136," „Mindenki, aki elolvassa az értekezletek jegyzékét, tudja, hogy Németország a fő késleltetője a nagyon határozott szankcióknak” – fejtette ki.",0
137," Hangsúlyozta: Orbán Viktor miniszterelnök nem akadályozta az eddigi szankciókat, ezek „fő késleltetői valójában a nagy államok, amelyek üzleti kapcsolataikat féltik”.",0
138,    ,0
139,"Felhívta a figyelmet arra, hogy Orbán Viktor minden esetben beleegyezett az eddigi szankciócsomagokba.",0
140," „Ennek a legjobb bizonyítéka, hogy ezekről megállapodás született” – fűzte hozzá, majd ismételten aláhúzta: a szankciók fő akadályozói „a Nyugat-Európa legnagyobb és leggazdagabb államai” voltak.",0
141," Újságírói kérdésre azt is elmondta: kérni fogja Orbán Viktortól, hogy támogassa az újabb, még súlyosabb szankciók kivetését Oroszországgal szemben.",0
142,(MTI),0
143,"Minden korábbinál erősebb ellenszéllel, egyebek mellett gazdasági nehézségekkel és a háborúban álló Ukrajnával kapcsolatos politikája miatt növekvő elszigeteltséggel nézhet szembe negyedik miniszterelnöki ciklusában Orbán Viktor a Reuters hírügynökség értékelése szerint.",0
144,"A Reuters szerint Ukrajnát illetően a vasárnap újonnan megválasztott magyar kormányfő arra hivatkozik,",0
145,viszont lengyel szövetségesei egyre kevésbé megértőek ezzel kapcsolatban – mutattak rá a cikkben.,0
146,"Azzal folytatták az írást, hogy az Orbán-kormány komoly gazdasági nehézségekre számíthat.",0
147, A Reutersnek nyilatkozó elemző a Magyar Nemzeti Bank lassuló gazdasági növekedésre figyelmeztet.,0
148," Továbbá arra is felhívta a figyelmeztet a kedvezőtlen képet mutató gazdasági és stabilitási indikátorok alapján, hogy a koronavírus-járvány „gyerekjáték volt ahhoz képes, ami most jön”.",0
149,Nyitóképen Orbán Viktor miniszterelnök interjú közben.,0
150, Fotó: tenyek.,0
151,"„Nincs Európában még egy olyan nép, amely ilyen hosszú idő óta kormányon lévő politikai közösségnek akkora bizalmat tudna adni, mint amit most mi kaptunk a magyaroktól.",0
152," Nagyon sokat kell dolgoznunk a következő években, hogy ezt megháláljuk.",0
153,”,0
154,Ezt mondta Orbán Viktor a Hír TV-nek adott exkluzív interjújában.,0
155," Bayer Zsolt kérdésére, hogy a Fidesz újabb győzelme visszavonhatatlanul visszaigazolta-e az elmúlt 12 év kormányzati politikáját, a kormányfő jelezte, a politikában nincs olyan, hogy visszavonhatatlan.",0
156,"Azt mondta, hétfőn délben már tart egy kormányülést, reggel pedig azon gondolkodik, mi a következő teendő, de egyelőre örül, mert a Fidesz úgy nyert, ahogy senki sem gondolta.",0
157,"„Hiába a sok modern technika, mérések, fókuszcsoportok, ilyen politikai okoskodás, azért",0
158,És ebből a hatmillió akaratból a végén összeáll egy nagy közös akarat.,0
159," És ezt senki sem tudja megjósolni, hogy mi lesz, meg hogy lesz… a Jóistenen kívül” – fogalmazott a miniszterelnök.",0
160,"Orbán Viktor azt mondta, az elmúlt 30 évben megtanulta, hogy a győzelemért meg kell dolgozni, ezért külön megköszönte annak a több mint százezer önkéntesnek a munkáját, aki azt segítette, hogy vasárnap amikor fölkiáltanak, akkor ne Barabás legyen a végeredmény.",0
161,"A kormányfő szerint ötödik kormányzásával újabb esélyt kapott az ország: „Azt szeretnénk, ha az unokáink büszkék lennének arra, amit mi leteszünk az asztalra, és olyan unokákat szeretnénk nevelni, akikre majd büszkék lehetnek az ő unokáik, és ez így fog menni, amíg világ a világ.",0
162," Erről szólt ez a mai választás, ez volt benne a misztérium.",0
163,"A kormányfő egyetértett Bayer Zsolttal abban, hogy – az ellenzék, Brüsszel és Washington álláspontjával ellentétben – a választás azt is igazolta, hogy a jövő a nemzeti reneszánszé.",0
164,"„Nem kell nekünk birodalmakhoz kapcsolódnunk, vagy oda betagozódnunk, nem jön ki abból nekünk semmi jó, és még ha valami jó ki is jönne, akkor sem éreznénk jól magunkat a bőrünkben, hiszen szabadságszerető, a független Magyarországba szerelmes magyarok vagyunk” – fogalmazott a kormányfő.",0
165,"Orbán Viktor szerint Európában kétségkívül nagy a vita erről, de Közép-Európa és a Fidesz győzelme reményt ad az európai patrióták számára, hogy a hazaszeretet az nem a múlthoz, hanem a jövőhöz tartozik.",0
166," Szerinte azok a nemzetek, amelyek nem jöttek rá, hogy erős kormányok, erős vezetők kellenek, nem nagyon tudnak válaszolni a modern kor kihívásaira, csak bukdácsolnak.",0
167,"A kormányfő nagyon fontosnak, történelmileg beágyazottnak nevezte, hogy a magyarok összetartanak, ezt várják el a vezetőiktől, a politikusoktól is, ezért akár a hibáikat is megbocsátják.",0
168, ,0
169,A teljes beszélgetést itt nézheti vissza:,0
170,"A baloldali amerikai CNN hírcsatorna, Orbán Viktor, Magyarország tekintélyelvű vezetője „ellenfélnek” nevezi Zelenszkijt, miután megnyerte a választást címmel értékelte a magyarországi választást, tudósít az Index.",0
171," Az írás szerint a választási kampányt Moszkva ukrajnai inváziója uralta, illetve Orbán Viktor kapcsolata Vlagyimir Putyin orosz elnökkel.",0
172," Ennek alátámasztásra idézte Orbán győzelmi beszédét, amelyben Volodimir Zelenszkij ukrán elnököt nevezte az egyik ellenfelének, akit le kellett győznie a kampányban.",0
173,"Az írás emlékeztet: hiába jósoltak a közvélemény-kutatások szorosabb versenyt, az Orbán Viktor vezette Fidesz kényelmesen győzött az ország nagy részén.",0
174," Márki-Zay Péter ellenzéki vezető még saját választókerületében sem tudott nyerni, ott, ahol polgármesterként tevékenykedik, írják.",0
175,"A hivatalos eredmények szerint Orbán Viktor lett Magyarország kormányfője, aki így sorozatban negyedszerre alakíthat kormányt – írta a Breitbart vasárnapi cikkében.",0
176,"A portál cikkében emlékeztetett arra, hogy az Orbán-kormány több alkalommal konfrontálódott az Európai Unióval, többek között sajtó és az igazságszolgáltatás ügyében, valamint az LMBTQ-közösséget célzó intézkedésekkel kapcsolatban, amelyről az országgyűlési választással egy időben tartottak népszavazást Magyarországon.",0
177,"Az Országos Választási Iroda eredményei szerint a szavazatok 94 százalékos feldolgozottságánál a Fidesz 53 százalékon állt, szemben az ellenzéki koalíció 35 százalékával, ami azt jelenti, hogy",0
178,– tették hozzá.,0
179,Nyitóképen a Fidesz eredményváró rendezvénye a Bálnánál.,0
180,Nagy Attila Tibor politikai elemző a Magyar Nemzet megkeresésére kiemelte: nagyon meglepte volna a baloldali összefogás választási győzelme.,0
181," Úgy fogalmazott: az ellenzéki tömörülést folyamatos hibák jellemezték, most álltak ki a legnagyobb erővel az elmúlt tizenkét évben, mégse tudták táborukat mobilizálni.",0
182, ,0
183,"„A baloldali összefogást folyamatos belső feszültségek jellemezték, és nem tettek jót Márki-Zay kommunikációs hibái sem.",0
184, ,0
185,"– emelte ki Nagy Attila Tibor, aki Márki-Zayt kiemelten felelősnek tartja, mert szerinte a politikus lerombolta az ellenzék esélyeit.",0
186, Hozzátette: a baloldal egyedül az Orbán-ellenességgel tudta feltüzelni a táborát.,0
187," Kiemelte, hogy a legegyszerűbb üzenetet, miszerint a magyarok a háború és a béke között választanak, a Fidesz közvetítette, és ez segített legjobban a mozgósításban.",0
188, Hozzátette: az ellenzék nagyon komoly válságba juthat a választáson elért eredménnyel.,0
189,Mit emelne ki a választás kapcsán?,0
190, Megfelelt a demokratikus elvárásoknak?,0
191,"A választás, illetve a megelőző kampány",0
192,A választás lebonyolítása zökkenőmentes volt.,0
193," Apró, szétszórt problémák merültek csak fel.",0
194, Nem voltak rendszerszintű gondok.,0
195," Sokkal inkább arról volt hangos a kampányhajrá, hogy a baloldal minden valószínűség szerint meg nem engedett eszközöket is használt.",0
196," Ezt azért fontos elmondani, mert amikor az EU-s intézmények nyomon követik az eseményeket – főleg az EBESZ delegációja kapott nagyobb figyelmet –, akkor kíváncsi leszek, olvashatjuk-e majd erről pártatlan riportjukat, mely említi az ellenzék kifogásolható eszközeit.",0
197," Nincsenek hiú reményeim, az EBESZ reputációja sokat romlott az utóbbi időben.",0
198,A nyugati mintákhoz képest milyen a magyar rendszer?,0
199,"A magyar választási rendszer minden európai vagy globális jogi, erkölcsi elvárásnak megfelel.",0
200," A magyar rendszer nem torzít jobban, mint bármely rendszer Európában, és akkor ne is beszéljünk az Egyesült Államok általános, és egyes állami szintű sajátosságairól.",0
201,Mit mutat a magas részvétel?,0
202,"Nagyon magas volt a részvétel, talán most, amikor beszélünk, nem érte el végül a négy évvel ezelőtti számokat, de nagyon erős legitimációt ad a majd nyertes félnek.",0
203, Ez európai értelemben is kimagasló.,0
204, Ez két dolog miatt fontos.,0
205," Az egyik az orosz-ukrán háború, és az ebből fakadó geopolitikai és gazdasági kihívások, illetve hogy nemzeti érdekek mellett kiálló kormányunk legyen, legyen szó szankciókról vagy az EU-s forrásokról.",0
206, ,0
207,Mit mondtak a külföldi megfigyelők?,0
208,"Az én körzetemben is voltak EBESZ-megfigyelők, semmilyen gondot nem jeleztek.",0
209," Akikkel beszéltem más megfigyelők között, mind gyors, zökkenőmentes, jól szervezett választásnak voltak szemtanúi akár Budapesten, akár vidéken – legalábbis ezt mondták.",0
210,Fölényes fideszes győzelem és jelentős ellenzéki összefogás bukás – foglalta össze az eddigi eredményeket Horn Gábor a Magyar Nemzetnek.,0
211, A Republikon Alapítvány kuratóriumának elnöke szerint meglesz a Fidesznek kétharmados többség.,0
212," Hozzátette, a győzelem mértéke meglepte, a ténye azonban nem.",0
213," Szerinte a Fidesz győzelmének oka az emberek biztonságérzet iránti vágya, a január-februári jóléti intézkedések a kormány részéről, illetve az ellenzék „bénázása” lehet.",0
214,"Kiderült, hogy összefogva kevésbé hatékonyak, mint összefogás nélkül – fogalmazott.",0
215, „Személyi következményei biztosan lesznek a választásoknak.,0
216,"– mutatott rá az elemző, hangsúlyozva, hogy az ellenzéki pártok első dolga lesz a bűnbakkeresés.",0
217,– jelentette ki Horn Gábor.,0
218, Szerinte nem lesznek baloldali zavargások a választások után.,0
219," Úgy véli, ez egy olyan súlyos vereség, amely nem alapozna meg egy ilyen kormányellenes megmozdulást.",0
220," Az elemző szerint elképzelhető, hogy a gyermekvédelmi népszavazás érvényes lesz, ha a Fidesz fölényes győzelméből indulunk ki.",0
221,Orbán Viktor a Bálnánál üdvözölte az egybegyűlteket.,0
222," „Egész jól nézünk ki, egyre jobban nézünk ki.",0
223," Talán soha sem néztünk ki olyan jól, mint ma este” – kezdte beszédét.",0
224,– jelentette be a Fidesz-KDNP győzelmét a miniszterelnök.,0
225,"Orbán Viktor köszönetet mondott a magyar választópolgároknak, az önkénteseknek, és külön köszöntette a ránk határon túlról figyelő magyarokat.",0
226," Köszönetet mondott a segítségért, és így kaptak egy esélyt, hogy segíthetnek rajtuk.",0
227,– húzta alá,0
228,"Orbán Viktor elmondta, hogy ez most nem az okoskodás ideje, hanem a boldogságé.",0
229, ,0
230,"Orbán Viktor közölte, hogy a győzelem minden lehetőségét kihasználták.",0
231, Minden körülmények között nyertek az ellenzékkel szemben.,0
232,– fogalmazott.,0
233,"Elmondta: „A végén mindig a szív győz, hiába a ravaszkodás, és cselszövés.",0
234, Azért nyertünk mert van egy közös szenvedélyünk: Magyarország”.,0
235,"Orbán Viktor a baloldalnak címezve azt mondta: ők voltak  „Gyuri bácsi legrosszabb befektetése, mert 12 éve csak viszi a pénzt” – mondta Orbán Viktor.",0
236," „Most kellett a legnagyobb túlerővel megküzdeni, a nemzetközi fősodratú média, és a végén az ukrán elnök is” – fogalmazott.",0
237, ,0
238,"– mondta a kormányfő, visszhangozva a márciusi Békemenet üzenetét.",0
239,„Megvédtük a magyar békét és biztonságot” – mondta a kormányfő.,0
240, Orbán Viktor szerint a világban lévő barátaink mindent megtettek a sikerért.,0
241," „Ez a barátaink győzelme is, mert az egész világ láthatta, hogy a kereszténydemokrata politika, a konzervatív politika, és a hazafias politika győzött.",0
242, Ez lesz a mi közös európai jövőnk” – mondta a kormányfő.,0
243,– zárta beszédét Orbán Viktor.,0
244,"A Fidesz-KDNP kétharmados parlamenti többséggel megnyerte a 2022-es országgyűlési választásokat április 3-án, írja az Index.",0
245," Az ellenzék miniszterelnök-jelöltje, Márki-Zay Péter nem gratulált Orbán Viktornak, és azt is elmondta, hogy mi ennek az oka.",0
246," A választás éjszakáján az ellenzéki miniszterelnök-jelölt nem gratulált telefonon Orbán Viktornak, az ATV kérdésére pedig az is kiderült, hogy ennek az volt az oka: Márki-Zay Péter nem tudja a miniszterelnök telefonszámát, és egyébként sem érzi úgy, hogy gratulálnia kellene.",0
