content,sentencelabel
" Viszont reménykedem, hogy később a budapesti ellenzéki voksolók, értelmiségiek is közelednek a többségi állásponthoz – legalábbis némely kérdésekben.",0
" Talán vannak jelei, hogy ez már el is kezdődött.",0
" Többen például őszintén elgondolkodtak azon, hogy a vidékiek a választáson elegáns, egyszersmind határozott választ adtak a jelen baloldal velük szembeni lekezelő gesztusaira.",0
 ,0
 ,0
"Pityinger László, alias Dopeman húsvét hétfőn is új videóval jelentkezett, amelynek a legfőbb témáját VV Zsolti, azaz Osváth Zsolt Tóth Gabi ellen irányuló kirohanása szolgáltatta.",0
" A volt villalakó úgy fogalmazott videójában, „nem az a baj, hogy az énekesnő fideszes, hanem hogy ezt hosszú ideig az ő szemébe is letagadta”, és emiatt, mint mondta, „Tóth Gabi a pofámba hazudott, hányok tőle”.",0
 ,0
"Dopeman először is azzal kezdte: a negyedik Fidesz-kétharmad után az ellenoldalnak önreflexiót kellene tartania, majd ezen gondolatmenetet továbbszőve azt mondta: Osváth Zsoltnak egyetlen problémája van, ami azonban nem csak rá, hanem az egész balliberális oldalra jellemző, mégpedig, hogy „ezek az ellenzéki formák piedesztálra helyezik magukat”.",0
 A rapper szerint VV Zsolti,0
– fogalmazott videójában Dopeman.,0
"Hozzátette: a probléma ott van, hogy ez a piedesztál „recseg-ropog, nem áll biztos lábakon”, sőt a rapper álláspontja szerint ez már „össze is dőlt”, utalva arra, hogy Gyurcsány a választások után egyből Márki-Zay Péter felelősségét kezdte firtatni, és arra buzdított mindenkit, hogy legyenek ők is Gyurcsányok.",0
"Dopeman ezután azzal folytatta: Osváth Zsolt az „orbáni diktatúrában” építette fel YouTube-csatornáját és éttermét, egy olyan országban, „ahol elnyomják a melegeket”, majd hozzátette:  „Lehet fikázni a Tóth Gabit, mert hogy fideszes.",0
 [.,0
.,0
.,0
"] Nyilvánvaló az, hogy ha Osváth Zsolt becsatornázódott [Gyurcsányékhoz], az se véletlen volt”.",0
"A rapper szerint ha VV Zsolti „erkölcsi és morális értelemben valóban a többiek fölött áll”, ",0
– fogalmazott Dopeman.,0
A rapper teljes videóját megtekinthetik alább:,0
Nyitókép: YouTube / ZSHOW Time,0
egy ilyen piedesztálról nézi a világot és bírálgatja az embereket.,0
" „És most meglepődött, hogy mégsem sikerült a nagy változás, és most meg vagyunk sértődve, és haragszunk”",0
"Vlagyimir Putyin orosz elnök szerint a nyugati országok öngólt lőttek azzal, hogy az ukrajnai háború miatt szankciókat vezettek be Oroszország ellen, ami szerinte",0
"Az orosz belföldi gazdaság helyzetéről szólva Putyin azt mondta, hogy az infláció stabilizálódik, és a kiskereskedelmi kereslet normalizálódott az országban.",0
 – írja a Guardian.,0
"Az orosz szolgáltatási szektor a legnagyobb visszaesést szenvedte el a Covid-19 világjárvány 2020-as kitörése óta, mivel a fogyasztók és a vállalkozások lemondták megrendeléseiket",0
"Ezzel szemben egy nagy figyelemmel kísért üzleti felmérés e hónap elején azt mutatta, hogy az új megrendelések márciusban csökkentek, mivel az importra és az exportra vonatkozó korlátozások kezdtek éreztetni hatásukat, az infláció pedig a szolgáltatások árát az eddigi leggyorsabb ütemben emelte.",0
Nyitókép: AFP,0
a nyugati gazdaság gyengüléséhez” vezetett.,0
"„Németországnak is megvan a maga magyar-problémája” címmel jelentetett meg egy cikket a  Wall Street Journalben Dalibor Rohac, az American Enterprise Institute elemzője.",0
" A szerző a cikkben kifejti, hogy Berlin Orbán Viktor cinkosaként az orosz agresszió elleni egységes uniós fellépést akadályozza.",0
" Merthogy nemcsak Orbán, de Németország is igyekezett a Kreml kedvében járni – alapvetően",0
"„A német vezetők több mint egy évtizede nemcsak a Kreml, hanem az Európai Unió legvakmerőbb és legnyíltabban nyugatellenes politikát folytató kormányát is simogatták és megbékítették Budapesten.",0
” – írja Rohac.,0
"Ezután kifejti, hogy „Németország hanyagsága Európában és az Észak-atlanti Szerződés Szervezetében különösen szembetűnő volt az orosz invázió közepette.",0
" Egyes berlini kritikusok számára az, hogy Ukrajna a közelmúltban elutasította Frank-Walter Steinmeier német elnök kijevi látogatását, megkésett igazolásnak számít”.",0
"Az elemző szerint „néhány nappal a háború kezdete után Olaf Scholz német kancellár politikai forradalmat jelentett be, beleértve azt a tervet, hogy többet költenek a védelemre és függetlenítik az országot az orosz földgáztól.",0
" A politika »új korszaka« február 27-én azonban túl kevésnek, túl későnek tűnik.",0
 ,0
"valamint a Fidesz-pártnak a civil társadalmat, a szabad médiát és az igazságszolgáltatást megcélzó antidemokratikus politikáját”.",0
Nyitókép: Yorick Jansens / AFP,0
az energiapolitika zökkenőmentessége érdekében.,0
"Viktor Medvedcsuk Moszkva-barát ukrán politikus és üzletember a mariupoli civilekre, orosz fogságba esett két brit katona pedig Medvedcsukra való kicserélését kérték egy-egy videóban, amelyet egy órán belül tettek közzé hétfőn Ukrajnában és Oroszországban.",0
"Az ukrán állambiztonsági szolgálat a Facebookon hozott nyilvánosságra egy videofelvételt, amelyben a hazaárulással vádolt, oroszbarátként számon tartott Viktor Medvedcsuk ukrán politikus és vállalkozó azt javasolja: cseréljék el őt az ostromlott",0
A felvételen arra kéri Vlagyimir Putyin orosz és Volodimir Zelenszkij ukrán elnököt: fontolják meg ajánlatát.,0
    ,0
Medvedcsuk az Ellenzéki Platform – Az Életért elnevezésű oroszbarát párt volt vezetője.,0
 A Forbes magazin szerint a 12.,0
 leggazdagabb ember volt Ukrajnában 2021-ben.,0
" Személyes kapcsolatok fűzik Vlagyimir Putyin orosz elnökhöz, aki a politikus egyik lányának a keresztapja.",0
    ,0
egy különleges művelet során.,0
 A 67 éves oligarcha – akit hazaárulással és terrorizmus finanszírozásával vádolnak – az orosz invázió kezdete előtt szökött meg házi őrizetből.,0
    ,0
"Eközben orosz hadifogságba esett két brit férfi, Sean Pinner és Aiden Aslin egy felvételen arra kérte Boris Johnson brit miniszterelnököt, hogy gondoskodjon szabadulásukról, érje el, hogy kicseréljék őket az Ukrajnában fogva tartott Viktor Medvedcsukra.",0
    ,0
Orosz információk szerint,0
"Állítólag azt követően kerültek hadifogságba, hogy egységük megadta magát az oroszoknak.",0
 Videójukat az orosz állami médiában tették közzé.,0
" A felvételen megviseltnek tűnnek, de azt mondták, hogy megfelelő bánásmódban részesültek.",0
" A videóból nem derült ki, hogy a britek donyecki szakadárok vagy orosz katonák fogságában vannak-e.",0
    ,0
"Shaun Pinner, a 48 éves veterán katona családja Londonban közleményben hangsúlyozta, hogy a férfi se nem önkéntes, se nem zsoldos; négy éve él Ukrajnában, „fogadott hazájában”; ukrán felesége van, és „hivatalosan, az ukrán törvények alapján szolgál az ukrán hadseregben”.",0
 ,0
Captured British fighters beg to be exchanged for Putin's 'prince of darkness' on Russian TV https://t.,0
co/imbu9So5Ha pic.,0
twitter.,0
com/OZ63BQ9Pef,0
 ,0
(MTI),0
Nyitókép: Mikhail KLIMENTYEV / SPUTNIK / AFP,0
Mariupolban rekedt civilekért és a várost védő ukránokért.,0
Medvedcsukot múlt kedden fogta el az Ukrán Biztonsági Szolgálat (SZBU),0
"Az április 3-i országgyűlési választásokon a fideszes Lévai István több szavazatot kapott Budapest egyik legismertebb lakótelepén, a Havanna-lakótelepen, mint az MSZP-s Kunhalmi Ágnes.",0
 Pedig ez a körzet eddig a baloldal egyik legerősebb területe volt.,0
" Nemcsak ebben a választókerületben, hanem a főváros egészében nőtt a Fidesz–KDNP támogatottsága.",0
A Budapest 15.,0
" számú egyéni választókerületben 100 százalékos feldolgozottság mellett Kunhalmi Ágnes, a baloldal jelöltje 25 946 szavazattal 44,60 százalékot szerzett, és ezzel megnyerte a választókerületet, meglepetésre nagyon kis különbséggel – olvasható az Origó cikkében.",0
"A fideszes Lévai István mindössze egy százalékponttal lemaradva 25 166 szavazatot szerzett 43,26 százalékkal.",0
 Viszont a választókerületben fekvő ,0
"„A pontos szavazati arányt nem lehet megállapítani, ugyanis az egyik havannatelepi szavazókört jelölték ki arra, hogy az átjelentkezéssel és a külképviseleteken szavazók szavazatait a többi közé keverjék – ők azonban nem (vagy nem feltétlen) a lakótelepen laknak.",0
" A többi szavazókörben azonban annyival több szavazatot kapott Lévai István, hogy a csak itt lakók szavazataival semmiképp nem tudott volna fordítani Kunhalmi, sőt, valószínű, hogy ha ",0
– írja az Origó.,0
"Abban a 10 szavazókörben, ahol csak a havannatelepiek szavaztak, Lévai István 2791, Kunhalmi Ágnes 2727 szavazatot kapott.",0
 ,0
Nyitókép: Facebook ,0
Havanna-lakótelepen Lévai István kapott több szavazatot.,0
"Először hozott nyilvánosságra a háború kezdete óta ukrán veszteséglistát hétfőn az orosz védelmi minisztérium, az elesettek névsora 23 367 ember személyi adatait tartalmazza.",0
" A moszkvai katonai tárca az ukrán hadsereg, a nemzeti gárda és a külföldi zsoldosok veszteségeiről szóló, a Telegram-csatornáján megosztott adatokat megbízhatónak nevezte, a gárda esetében megjegyezve, hogy az információk valódi ukrán dokumentumokból származnak.",0
A hivatalos iratokra hivatkozó közlemény szerint a 3057-es katonai egység katonái és az annak részét képező Azov különleges rendeltetésű különítmény büntetőalakulatának katonái között jelentősek voltak a veszteségek a március 29-én rögzített állapot szerint.,0
 ,0
"A veszteséglista az elesett ukrán katonák nevét, születési dátumát, rendfokozatát, haláluk helyét és körülményeit, valamint az eltemetésük helyét tartalmazza.",0
" A tárca közölte, hogy nagyszámú dezertált, sebesült és eltűnt ukrán katona adataival is rendelkezik.",0
(MTI),0
Fotó: MTI/EPA/Stanislav Kozliuk,0
"A kínai külügyminisztérium március 28-án közölte, hogy Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar külügyminiszterei csütörtöktől vasárnapig Kínában tesznek látogatást Wang Yi államtanácsos és külügyminiszter meghívására.",0
"A Délkelet-Ázsiai Nemzetek Szövetsége (ASEAN) tagjai közül a négy külügyminiszter közelgő látogatása nemcsak Kína bensőséges kapcsolatait tükrözi a szomszédos országokkal, hanem azt is, hogy  közös cél a Kína-ASEAN együttműködés előmozdítása – mondta Wang külügyminisztériumi szóvivő.",0
"A találkozó tényét az teszi pikánssá, hogy ",0
"Wang ki is hangsúlyozta: „Az ASEAN fontos tagjaként Indonézia, Thaiföld, a Fülöp-szigetek és Mianmar Kína baráti szomszédai és fontos partnerei a Belt and Road együttműködés előmozdításában.",0
" Kína folyamatosan kapcsolatot tartott az ASEAN-tagokkal, hogy elmélyítse a világjárvány elleni intézkedésekkel és a fejlődés helyreállításával kapcsolatos együttműködést a COVID-19 világjárvány kitörése óta”.",0
"A kínai szakértők szerint a kisebb országok kínai látogatása épp akkor,  amikor elhalasztották  az Egyesült Államokkal való találkozót, azt mutatja, hogy az ASEAN Kínával hajlandó tárgyalni, nem pedig az Egyesült Államokkal.",0
"„Míg az előbbi valóban és őszintén segíti őket a gazdasági fejlődés fellendítésében és a gyakorlati problémák megoldásában a win-win együttműködés révén, addig az utóbbi nem igazán törődik jelenlegi helyzetükkel, hanem csak arra akarja használni őket, hogy megfékezzék Kínát anélkül, hogy kézzelfogható hasznot hozna nekik.",0
" És az ASEAN-tagok tudják ezt” – mondta Qian Feng, a Tsinghua Egyetem Nemzeti Stratégiai Intézetének kutatási osztályának igazgatója a Global Timesnak hétfőn.",0
"Qian azt is hozzátette, hogy az ASEAN részben az ukrajnai válság miatt próbálta elkerülni az Egyesült Államokkal való találkozást.",0
" ""Az ASEAN nem akarja az Egyesült Államok oldalát választani az ukrajnai válságban, ami véleményük szerint csak tovább fokozná a feszültséget, ami eszkalálhatja a helyzetet"" - mondta.",0
"Az ENSZ Közgyűlésén az afrikai országok többsége vagy tartózkodott az orosz akciók elítéléséről szóló határozattól, vagy ellenezte is az elítélő határozatot.",0
"Az afrikai országok független álláspontját az ukrán-orosz válsággal kapcsolatban egy józan és jól kiszámított, saját érdekeiken alapuló álláspont magyarázza.",0
" Emellett, széles körben elítélik az Ukrajna elleni katonai hadművelet miatti orosz erkölcsi kudarcot.",0
"Az afrikai álláspont szerint, ",0
"A nyersanyagok – például a búza, az árpa, a nikkel, a műtrágyák és a növényvédő szerek – árai is megugrottak a globális piacokon tapasztalható hiány miatt.",0
Az orosz-ukrán konfliktus így óriási hatással van a fejlődő világra.,0
 Afrika különösen küzd saját népének élelmezéséért.,0
" Az ENSZ Élelmezésügyi és Mezőgazdasági Szervezete is figyelmeztetett arra, hogy idén a kontinens súlyos élelmiszer-ellátási bizonytalansággal nézhet szembe a COVID-19 világjárvány által kiváltott konfliktusoknak, aszálynak és gazdasági nehézségeknek köszönhetően.",0
"Az afrikai országok nincsenek egyedül abban, hogy fenntartják független álláspontjukat az ukrán-orosz konfliktusokkal szemben.",0
" Ezért csatlakoztak Kínához, Indiához és Törökországhoz, amelyek szerint a szankcióknak semmi haszna nincs a probléma megoldásában.",0
"A kínai lap nevetségesnek tartja, hogy az afrikai kontinens hallgatását a nyugati média Oroszország Afrikában növekvő befolyásával és gazdasági lábnyomával magyarázza.",0
 ,0
"Az Ukrajna elleni támadás 2014 után újra száz dollár fölé emelte az olaj hordónkénti árát, az orosz tartalékok befagyasztása pedig sok országot gondolkodóba ejtett.",0
 Ennek egyik elemeként a szaúdiak aktív tárgyalásokat folytatnak Pekinggel: a Kínának értékesített olaj egy részét jüanban számolnák el.,0
" Ez a lépés csorbítaná az USA-dollár dominanciáját a globális kőolajpiacon, és a világ legnagyobb nyersolaj exportőrének újabb elmozdulását jelezné Ázsia felé.",0
"A Kínával folytatott tárgyalások a jüan-áras olajszerződésekről hat éve folynak, de idén felgyorsultak, mivel a szaúdiak egyre elégedetlenebbek az Egyesült Államokkal, amely szerintük nem teljesíti több évtizedes biztonsági kötelezettségvállalásait a királyság védelmében - írta a Wall Street Journal.",0
Kína a Szaúd-Arábia által exportált olaj több mint negyedét vásárolja fel.,0
" Ha jüanban számolnák ezt el, akkor ezzel növelnék a kínai valuta értékét.",0
" A szaúdiak azt is fontolgatják, hogy a jüanban denominált határidős ügyleteket, az úgynevezett petrojuant is beépítenék a Saudi Arabian Oil Co.",0
", azaz az Aramco árképzési modelljébe.",0
" Szaúd-Arábia számára mélyreható változást jelentene, ha a napi durván 6,2 millió hordónyi nyersolajexport egy részét a dolláron kívül bármi másban áraznák be.",0
"A globális olajeladások többsége – körülbelül 80 százaléka – dollárban történik, és a szaúdiak 1974 óta kizárólag dollárban kereskednek az olajjal, a Nixon-kormányzattal kötött megállapodás értelmében.",0
 Ez az egyezség biztonsági garanciákat is tartalmazott a királyság számára.,0
"Kína 2018-ban jüan áras olajszerződéseket vezetett be annak érdekében, hogy valutája kereskedhetővé váljon, de ezek nem rontottak a dollár olajpiaci dominanciáján.",0
Kína fokozta közeledését a szaúdi királysághoz.,0
" Az elmúlt években Kína segített Szaúd-Arábiának saját ballisztikus rakéták építésében, konzultált a nukleáris programmal kapcsolatban, és elkezdett befektetni Mohammed bin Szalmán trónörökös kedvenc projektjeibe, például Neom-ba, a futurisztikus új városba.",0
Eközben a szaúdiak és az Egyesült Államok viszonya megromlott.,0
 Biden elnök még a 2020-as kampányban páriáknak nevezte a szaúdiakat Dzsamál Khashoggi szaúdi újságíró 2018-as meggyilkolása miatt.,0
" Mohamed herceg, aki az amerikai hírszerző hatóságok szerint megrendelte Khashoggi meggyilkolását, nem volt hajlandó részt venni Biden és a szaúdi uralkodó, Szalmán király múlt havi telefonbeszélgetésén.",0
"A váltást támogató szaúdi tisztviselők azzal érvelnek, hogy a királyság a jüanból származó bevételek egy részéből fizethetné a szaúdi megaprojektekben részt vevő kínai vállalkozókat, ami segítene csökkenteni a valuta feletti, tőkeszabályozással kapcsolatos kockázatok egy részét.",0
" Kína további ösztönzőket is kínálhat, például a több milliárd dolláros befektetéseket a királyságban.",0
március elején a hírek szerint elhalasztották az Egyesült Államok és az ASEAN között március 28-ról március 29-re tervezett különleges csúcstalálkozót.,0
az eddig a Moszkvával szemben alkalmazott nyugati szankciók hozzájárultak az elmúlt évtized legmagasabb globális kőolajáraihoz.,0
 ,0
"Azzal érvelnek, hogy az afrikaiak Oroszország-bírálatának megtagadása az afrikai orosz „gyarmatosításon” alapszik.",0
"„Isten segítségével és közvetítésével bejelentjük egy áldott harc kezdetét, a két sejk, Abu Ibráhim al-Hásemi al-Kurejsi és Abu Hamzah al-Kurejsi al-Muhadzsir sejk bosszúharcát” – mondta a csoport új szóvivője, Abu Omar al-Muhadzsir a Telegram üzenetküldő alkalmazáson közzétett hangüzenetében.",0
    ,0
"A szóvivő felszólított minden dzsihadistát, hogy használja ki a keresztesek egymás elleni harcát, és folytassa a támadásokat Európában.",0
" Felhívásában „a kalifátus minden oroszlánjának és az Iszlám Állam harcosainak mindenhol” azt üzente: „ha üttök, üssetek keményen, hogy fájdalmat okozzatok és terrorizáljatok”.",0
    ,0
"Az Iszlám Állam márciusban megerősítette korábbi vezetője, al-Kurejsi halálát, és bejelentette utódjának kinevezését.",0
 A csoport szerint szervezetük új vezetője Abu al-Haszan al-Hasimi.,0
 Abu Ibráhim al-Hásemi al-Kurejsi február elején halt meg egy északnyugat-szíriai amerikai katonai műveletben.,0
" Joe Biden amerikai elnök akkor azt mondta, azért robbantotta fel magát, hogy ne vonják felelősségre tetteiért.",0
    ,0
Al-Kurejsit a terrorszervezetet hosszú ideig vezető Abu Bakr al-Bagdadi 2019 októberében bekövetkezett halála után nevezték ki az Iszlám Állam vezérévé.,0
" Az új üzenetben, amelynek hitelességét nem lehetett ellenőrizni, a szóvivő azt remélte, hogy az orosz háború Ukrajnában nem fog leállni, amíg el nem égeti „a kereszteseket és fel nem szántja a területeiket”.",0
(MTI),0
"Önről köztudott, hogy hívő ember.",0
" Mit jelent ön számára a kereszténység legnagyobb ünnepe, Jézus feltámadása és a húsvét?",0
Ha egy szóval foglalnám össze: a szeretetet.,0
" Ez vonatkozik a Jóistenre, a családra, a társadalomra és a futballra is.",0
" Hiszen csak egy olyan közösséggel lehet jó eredményeket elérni, amelynek tagjai képesek egymásért harcolni.",0
" Ehhez elengedhetetlen a szeretet, a hit és a remény, valamint az egymás iránti tisztelet.",0
 S még egy nagyon fontos dolog: az embernek a hivatását is szeretnie kell!,0
 ,0
"Játékosként mennyire segítette, erősítette a hit?",0
"Hihetetlen módon, hiszen muszáj volt kialakítanom magamnak egy olyan belső világot, amely oly’ erős, hogy képes legyek akár a falakat is ledönteni!",0
" No, és persze, sokat számított, hogy a családomnak köszönhetően már gyermekkoromban is hívőként éltem az életem, ministráltam.",0
" A hitnek köszönhetően fogadtam el, hogy szegények voltunk, előfordult, hogy egyik napról a másikra éltünk, és bizony, sűrűn éhesek is maradtunk.",0
" De a sport, és ezen belül a futball minden nehézségen átsegített.",0
" Ami nagyon fontos: sosem felejtettem el mindennap megkérni a Jóistent, hogy segítsen minket a legnehezebb körülmények között is.",0
"Hívő emberként nyilván könnyebb volt elviselni és kezelni a származásából fakadó nehézségeket, a rasszista megnyilvánulásokat?",0
Abszolút!,0
" Hiszen amikor engem bántottak, mindig az jutott eszembe, hogy Jézus Krisztust is megalázták, elárulták, leköpték.",0
 ,0
"és a Jóistennek köszönhetően mindig olyan mestereim voltak, Both Józseftől kezdve Verebes Józsefen és Bicskei Bertalanon át Mezey Györgyön és Egervári Sándorig, akik mindig önzetlenül segítették a pályafutásomat, az aktuális csapatba történő beilleszkedésemet.",0
 ,0
"Edzői miként fogadták el, hogy mindig hangsúlyozta: „számomra Isten az első, minden további csak ő utána következik az életemben!",0
”?,0
 ,0
"Mindegyik edzőm meghagyta a lelki szabadságomat, és tiszteletben tartotta, hogy keresztény hívő vagyok.",0
" Szerencsére a futball – pláne, a mai világban, ahol rengeteg légiós játszik a különböző bajnokságokban - felekezettől független, sohasem éreztem, hogy bármilyen formában kirekesztett lennék.",0
" Amikor például Izraelben játszottam, senki nem szólt meg minket, magyarokat, ha a mérkőzések előtt keresztet vetettünk.",0
 ,0
"Örülök, hogy szóba hozta Izraelt.",0
" Hívő emberként sorsszerű volt, hogy hét évet is futballozhatott e szent helyen?",0
Egyértelműen!,0
 ,0
"hiszen tudom, hogy Isten mire tanít minket, és hogy annál nagyobb szeretet nem létezik, hogy fiát, Jézus Krisztust feláldozta miattunk.",0
"Edzőként mennyire tartja fontosnak, hogy a tanítványai templomba járjanak, és hívő emberek legyenek?",0
"Ezt nem lehet senkire ráerőszakolni, de nagyon jó dolognak tartom, ha valaki igaz hívő ember.",0
" Meggyőződésem, hogy a hit a futballpályán is a segítségünkre van, másképp reagálunk bizonyos dolgokra.",0
" Fiatal, rutintalan játékosként bennem is volt néha frusztráció az ellenféllel, a játékvezetővel szemben, hiszen a pályán, egy-egy konfliktushelyzetben nem mindig Jézus ugrik be elsőként, de ha egy idő után lehiggad az ember, a lelki békéjét is könnyebb megtalálnia.",0
" S akik Isten-hívők, pontosan tudják, mennyire fontos a közösség ereje.",0
  ,0
"Tudom, hogy amikor több korosztályos válogatott szövetségi edzőjeként dolgozott, többször is előfordult, hogy a játékosait templomba is elvitte…",0
"Abszolút nem kényszerítettem egyetlen játékost sem, hogy rendszeresen templomba járjanak.",0
 ,0
"Jelzésértékű: amikor az 1995-96-os korosztállyal Rómában, a Szent Péter téren voltunk, el kezdett esni az eső, ezt én akkor egyfajta áldásként éltem meg.",0
" Pláne, hogy amíg benn voltunk a templomban, elállt, majd amikor kijöttünk, újra rázendített az ég.",0
 Ezzel a korosztállyal szerepeltünk egyébként a hazai rendezésű Eb-n és jutottunk ki a világbajnokságra.,0
 ,0
Miként tapasztalja?,0
 A mai játékosok – akár a Honvédnál – mennyire fogékonyak a hitre?,0
" Mennyire tud segíteni abban, hogy erősítsék a kapcsolatukat Istennel?",0
"Nagyon sokan példát vesznek a külföldi klasszisoktól, hiszen például Lionel Messi felvállalja hitét, és Cristiano Ronaldo is minden mérkőzés előtt hosszasan imádkozik.",0
" A mai játékosok ezt abszolút tudják értékelni, és be is építik a mindennapjaikba, nem véletlen, hogy sokan a kezdő sípszó előtt sokan keresztet vetnek.",0
" A magyar futballisták előtt pedig Gera Zoli lehet a legjobb példa, hogy a hit és a kiemelkedő tehetség – amelyet Istentől kaptunk – tökéletesen megfér, és meg is kell férjen egymás mellett!",0
 ,0
Nyitókép Pisont István (középen) a Boldog Ceferino Lovagrend sportnagyköveteként a mátraverebély-szentkúti római katolikus templomban Fotó: MTI/Komka Péter,0
 ,0
 ,0
"Előfordult, hogy engem is – nem egyszer, nem kétszer – bántottak, megaláztak, de úgy voltam vele: Istenben való hitem segítségével úgy is eljön a magasztalás ideje.",0
" Engem, a gádorosi szegénysorból származó cigánygyereket a kispesti közönség emelt föl,",0
"Emlékszem, amikor Betlehembe és Jeruzsálembe, Jézus Krisztus szülőhelyére és sírjához vagy éppen Gecsemáné kertjébe magánemberként kirándultam, a különböző tévés társaságok is elkísértek.",0
" Bárhol játszottam a világban, teljesen természetes volt számomra, hogy felvállalom a hitemet,",0
Farkas Anita interjúja a Mandiner hetilapban,0
 ,0
"A román–francia író, Matei Vișniec groteszk drámája nyomán készült darabban két kiöregedett, régóta mellőzött bohóc állásinterjúra érkezik: a sivár váróterem az érvényesülés igyekezetében előbb csatatérré, majd képzeletbeli poronddá, végül bűntény helyszínévé válik.",0
" „Mintha örök alkotótársával, Vati Tamással ars poeticának, (korai) búcsúdalnak is szánták volna az előadást” – olvasható egy kritikában.",0
 Van igazság ebben a megállapításban?,0
Búcsúdalnak semmiképpen sem.,0
 Amúgy mindig nagyon érdekesek a kritikák.,0
" Az októberi bemutatón például elment a zene, sokáig kínos csend volt, és mielőtt sikerült orvosolni a technikai problémát, megszólaltam, hogy na, akkor most kezdjük újra.",0
 A kritikus pedig erre a teljesen véletlen és soha többet el nem hangzó mondatra építette fel az írását.,0
Az ilyesmi bosszantja vagy inkább szórakoztatja?,0
"Régebben foglalkoztattak az előadásaimról és rólam készült beszámolók, akár jót, akár rosszat írtak bennük.",0
 Ma már egyáltalán nem érintenek meg.,0
" Talán azért, mert ahogyan az életem minden történését, ezt is feldolgoztam a magam módján: Újravágva címmel 2010-ben rendeztem egy darabot arról, hogy a kritikák mennyire tükrözik vagy tükrözhetik vissza azt, amit egy alkotó közölni akar.",0
" De más oka is van annak, hogy egyre kevésbé érdekel, ki mit ír vagy gondol rólam.",0
Mi ez az ok?,0
Egy ideje,0
"Ezzel párhuzamosan a világhoz való viszonyom is megváltozott: megpróbálok nem részt venni ebben az alacsony rezgésszintű, félelmekkel teli, elidegenedett 21.",0
 századi létben.,0
" E szempontból sem búcsúdal a Bohóc kerestetik, hiszen éppen azt szeretném megmutatni benne, hogy a múlton való kesergés éppen úgy nem vezet sehova, mint a jövőtől való szorongás.",0
 Az ember életében az egyetlen állandó a változás.,0
" Ha boldogok akarunk lenni, ezt a tényt elfogadva a jelenre kell koncentrálnunk, és megpróbálni elengedni nemcsak a szorongásainkat, hanem a keserűségeink forrásául szolgáló vágyainkat is.",0
 Mert csak így lehetünk szabadok.,0
" Nekem a szabadságérzetem persze eddig is megvolt, a színpadon, tánc közben, ami gyerekkoromtól a mostban levés végtelen örömét adta.",0
 Ezt a flow-állapotot igyekszem átvinni az életem összes területére.,0
" Ehhez tudatosan megteremtettem azt a hátteret, amelyben több időt tudok tölteni értékes dolgokkal.",0
 És ez fizikailag is értendő.,0
" Van kertem, állataim, abban a fajta létezésben, amikor az ember csak van a pillanatban, locsolja a füvet, ülteti a magokat, rendezi a virágokat, szintén tökéletesen fel tudok oldódni.",0
" Szóval szó sincs hattyúdalról, kíváncsian várom, mit tartogat még a sors nekem.",0
De ars poeticáról ezek szerint igen.,0
Nyilván.,0
 Művészként a saját eszközeimmel mindig feladatom tükröt tartani a társadalom elé.,0
 ,0
